model,variable,coef,std_error,t_value,r_squared
model_1_score,const,2.19743,0.242632,9.05662,0.082447
model_1_score,sentiment_score,0.021495,0.012345,1.741215,0.082447
model_1_score,text_length,-0.000334,0.000224,-1.492812,0.082447
model_1_score,imagenumber,0.273135,0.020341,13.427513,0.082447
model_1_score,evening,1.2053,0.229412,5.253862,0.082447
model_1_score,afternoon,1.211043,0.22918,5.28425,0.082447
model_1_score,morning,1.032012,0.240756,4.286545,0.082447
model_2_direction,const,2.234249,0.261523,8.54323,0.081585
model_2_direction,positive_flag,-0.045741,0.136201,-0.335835,0.081585
model_2_direction,negative_flag,-0.138073,0.249109,-0.554265,0.081585
model_2_direction,text_length,-0.000137,0.000201,-0.681188,0.081585
model_2_direction,imagenumber,0.276159,0.020374,13.554508,0.081585
model_2_direction,evening,1.204631,0.229571,5.247317,0.081585
model_2_direction,afternoon,1.208974,0.229343,5.271471,0.081585
model_2_direction,morning,1.02771,0.240961,4.265056,0.081585
model_3_asymmetry,const,2.200372,0.242629,9.068879,0.082887
model_3_asymmetry,positive_word_count,0.019107,0.012509,1.527427,0.082887
model_3_asymmetry,negative_word_count,-0.054744,0.030791,-1.777895,0.082887
model_3_asymmetry,text_length,-0.000189,0.000256,-0.738105,0.082887
model_3_asymmetry,imagenumber,0.271295,0.0204,13.298874,0.082887
model_3_asymmetry,evening,1.208443,0.229412,5.267563,0.082887
model_3_asymmetry,afternoon,1.212523,0.229168,5.290985,0.082887
model_3_asymmetry,morning,1.03439,0.240748,4.296564,0.082887
model_4_intensity,const,2.217064,0.257163,8.621231,0.082202
model_4_intensity,high_intensity,0.050716,0.155855,0.325404,0.082202
model_4_intensity,medium_intensity,-0.110347,0.138113,-0.798962,0.082202
model_4_intensity,low_positive,0.041182,0.133402,0.308708,0.082202
model_4_intensity,text_length,-0.000185,0.000223,-0.830479,0.082202
model_4_intensity,imagenumber,0.27696,0.020445,13.546771,0.082202
model_4_intensity,evening,1.192578,0.229709,5.191696,0.082202
model_4_intensity,afternoon,1.201907,0.229401,5.239337,0.082202
model_4_intensity,morning,1.017093,0.240994,4.220409,0.082202
