model,variable,coef,std_error,t_value,r_squared
model_1,const,2.19743,0.242632,9.05662,0.082447
model_1,sentiment_score,0.021495,0.012345,1.741215,0.082447
model_1,text_length,-0.000334,0.000224,-1.492812,0.082447
model_1,imagenumber,0.273135,0.020341,13.427513,0.082447
model_1,evening,1.2053,0.229412,5.253862,0.082447
model_1,afternoon,1.211043,0.22918,5.28425,0.082447
model_1,morning,1.032012,0.240756,4.286545,0.082447
model_2,const,2.234249,0.261523,8.54323,0.081585
model_2,positive_flag,-0.045741,0.136201,-0.335835,0.081585
model_2,negative_flag,-0.138073,0.249109,-0.554265,0.081585
model_2,text_length,-0.000137,0.000201,-0.681188,0.081585
model_2,imagenumber,0.276159,0.020374,13.554508,0.081585
model_2,evening,1.204631,0.229571,5.247317,0.081585
model_2,afternoon,1.208974,0.229343,5.271471,0.081585
model_2,morning,1.02771,0.240961,4.265056,0.081585
