检验设定,系数,标准误,p值,下限,上限
基准模型,-0.3389,0.1353,0.0123,-0.6042,-0.0737
稳健标准误(HC3),-0.3389,0.1254,0.0069,-0.5847,-0.0932
替换因变量:原始对数点赞,-0.3406,0.1255,0.0066,-0.5866,-0.0946
替换因变量:对数评论数,-0.2124,0.0978,0.0299,-0.4041,-0.0207
替换因变量:对数收藏数,-0.3817,0.135,0.0047,-0.6463,-0.1171
剔除极端样本,-0.3033,0.1264,0.0164,-0.551,-0.0556
替换情感度量:原始得分,-0.3424,0.1253,0.0063,-0.5879,-0.0968
替换情感度量:加情绪占比,-0.3011,0.1349,0.0256,-0.5656,-0.0367
子样本:仅正向情绪,-0.2981,0.1397,0.0329,-0.572,-0.0242
子样本:剔除营销话术,-0.3884,0.1337,0.0037,-0.6504,-0.1264
子样本:剔除凌晨,-0.3293,0.13,0.0113,-0.5841,-0.0745
